mean_dist_vox_center,variance_dist_vox_center,sd_dist_vox_center
452.3514075996689,9268.423359000872,96.2726511476695
541.3828630566961,11584.77389111589,107.6325874961477
614.9967746559417,14045.953133396488,118.51562400543014
683.494698206857,16880.28612204624,129.92415526778012
749.3077948605192,18474.585822494737,135.92124860556106
809.5661746864794,20245.184892364057,142.28557513804432
866.3834040586859,21582.6256160851,146.91026382144
919.5806834313355,22399.847070334366,149.6657845679311
968.9343590522557,23156.913298099047,152.17395735834384
1014.4865755441448,24205.103357401833,155.57989380829977
1057.3708768783754,25423.26327845824,159.44674119736106
1097.85645589152,26636.877463230583,163.20808026329635
1136.8627685701574,27709.568090221062,166.46191183036757
1175.6103117208309,28925.902990515486,170.076168202707
1212.8887471612136,30348.254603008256,174.20750443941344
1249.5109807571448,31663.579252237578,177.94262910342078
1284.5783586985613,32607.432877407053,180.57528312979895
1319.2168676463882,33948.02558827654,184.24989983247357
1353.1916973834002,35049.04834229685,187.21391065382093
1386.2035627555847,35992.051452907486,189.7157121930271
1418.464112208235,37089.17840394194,192.58550933012054
1450.4214796762644,38415.582478231176,195.99893489055285
1480.592107847153,39673.672977057795,199.18251172494485
1510.1615248326445,40575.38785915685,201.43333353533336
1538.605368251718,41449.96204281225,203.59263749657612
1566.6771189236952,42742.18461486506,206.74183082981793
1594.5475664168814,43642.77427798139,208.90853088847615
1622.841540416433,44915.92696446042,211.9337796682266
1650.375481156005,45865.93428215008,214.16333552256344
1677.2403881814162,46696.29613651822,216.09325796173795
1703.3214545153937,47348.56891638916,217.5972631178737
1729.1180202836774,48324.87286453884,219.8291902012534
1754.5857859352761,49386.68082040712,222.2311427779804
1779.7639354024584,50218.51824248473,224.09488669419642
1804.5368843002645,51333.35977906124,226.56866460095765
1828.7631360534613,52111.92101935368,228.28035618369285
1852.7260552637763,53091.7334952288,230.41643495034984
1876.0911788306896,54154.03568776452,232.7101967851098
1899.5649324346366,54968.100019229176,234.45276713920265
1923.3262161056723,56056.384457894404,236.7622952623462
1946.3754465377403,57224.19916545868,239.21580040929294
1968.715897141337,58387.70135266619,241.63547204966864
1991.148681242042,59406.12779481306,243.7337231382089
2013.1275114585512,60386.76319109884,245.73718316750285
2035.2950920103224,61228.396504123135,247.44372391338428
2057.2495014970236,62611.988874070565,250.22387750586586
2079.024808457636,63513.286029030314,252.0184239872758
2100.6561895217096,64684.78493076879,254.33203677627557
2122.1743111186815,65840.07300644851,256.5932053006247
2143.090665758924,66497.40913893387,257.8709156514822
2163.5396964493793,67245.95351260947,259.3182475503979
2184.2475418798945,68391.25984398225,261.51722666773264
2204.576133740201,69258.35528697146,263.16982214336707
2224.7908847936333,69971.3421715471,264.52096735712104
2244.5631731770914,70848.47492601586,266.17376829059594
2264.5681643400217,71897.2920670744,268.1367040654345
2284.48413870954,72661.09266522636,269.5572159398193
2303.7359804075845,73378.06500403989,270.8838588842825
2322.5705713529082,74403.04568282358,272.7692168900728
2341.371058497475,75337.8205656229,274.47735893079215
2359.9419264069415,76174.9423847043,275.9980840236111
2378.7686082543196,77202.79104546292,277.85390233981406
2397.411230420567,78261.97375161089,279.7534159784486
2415.9258477144595,79379.47547922443,281.74363431890424
2434.027587436093,80158.38815215419,283.12256736642206
2452.2498547887444,81322.72376729645,285.1713936693098
2470.3842210031457,82222.59983688334,286.7448340195222
2488.605302566022,83570.88766726707,289.0862979583555
2506.3873782073906,84406.56399339151,290.5280778055565
2524.146024414461,85232.34041994927,291.9457833570289
2541.4333238203226,85814.29249083351,292.9407661812086
2558.7573368412454,86667.91276590101,294.3941452643055
2575.6690728077715,87439.00280242068,295.70086709785056
2592.272971609399,88292.07961686095,297.1398317574757
2609.3239364682318,89150.62992052053,298.58102739544677
2626.167199161096,89879.43225682576,299.79898641727556
2642.900236779537,90470.06452249062,300.78242056757676
2659.794605872557,91604.8339899648,302.66290487928114
2676.7340272924816,92400.05270560177,303.97376976575094
2693.160978196113,93150.89321230132,305.2063125367844
2709.1978590300564,93828.81082805138,306.31488835518815
2725.103031236423,94703.91535562559,307.7400126009382
2741.237361977374,95519.11443865519,309.0616676953892
2757.2736698916997,96282.94527250777,310.2949327212866
2773.6584559674316,97437.81972692318,312.15031591674415
2789.54827148678,98413.3135454536,313.70896312578253
2805.4677674112236,99122.07414617403,314.83658323989926
2821.106961691524,99730.83766122258,315.801896228035
2836.8622704507843,100549.1258398186,317.09482152791236
2852.4327995233757,101432.69895572869,318.4850058569927
2867.3403815973074,102130.32873579739,319.57836086912613
2882.4201166781854,103087.73962369782,321.0727948981318
2897.879948104119,104171.2407224685,322.75569820294186
2913.4227858465038,105180.04460237165,324.31473078226287
2928.5355125583305,105928.93010953302,325.4672489046064
2943.68452317303,106519.7606385194,326.373651875453
2958.521842756228,107293.98271218101,327.55760212851266
2973.3205689303486,108281.60312265212,329.0617010875804
2988.368462761498,109191.69288311676,330.4416633584766
3002.981584728472,110106.07609789819,331.82235623583017
